"","comicName","comicSum","comicGrade"
"242","천년구미호","천년구미호","9.78"
"243","문댕댕의 Day by day","도도한 레이디의 평범한 하루하루","9.76"
"244","문아(問我)","동양의학 드라마","9.77"
"245","Cheap An' Nasty","하류인생","9.74"
"246","더 호러스(The Horrors)","두치와 뿌꾸패러디","9.70"
"247","언제나! 별난하루","어린이집 일상만화","9.50"
"248","Ah!저이야기","연재중단.","9.74"
"249","달리기","꿈이 없는 사람들을 위한 이야기","9.79"
"250","빨간봉투","쉽게 돈을 벌 수 있는 대신 소중한 뭔가를 포기해야 한다면?","9.54"
"251","눈이 초롱초롱 반짝반짝♥","개그만화","9.20"
"252","GEMMA . 젬마","　","9.75"
"253","천원일기","이런 천마계로 괜찮은가","9.70"
"254","외눈박이 물고기","황태우","9.74"
"255","비스캣","Viscat","9.64"
"256","푸른피의소년","장편 판타지","9.33"
"257","심심한 마왕","할일 없는 마왕의 심심한 일상","9.76"
"258","옐로우","음악을 사랑하는 사람들의 이야기.","9.74"
"259","아수라연","무술학당, 그곳의 인연.","9.75"
"260","오늘도 풀때기","오늘도 풀때기","9.68"
"261","라이징패스트볼","고교야구만화!","9.59"
"262","나공댁","저의 소소한 일상입니다.즐겁게 봐주세요 ㅋㅋ^___^","9.66"
"263","즉석 야구부!","야구부 꼭 살릴꺼야!","9.49"
"264","더 나이팅게일","의문의 남자에게 파괴당한 나이팅게일 숲. 그곳에서 도망친 렌 카이엔의 복수를 위한 성장 모험기.","9.73"
"265","3MAN","사고뭉치은행강도","9.58"
"266","바람이 머무는 난","소녀와 용","9.78"
"267","유니섹스 (UNISEX)","성 정체성의 고민을 겪는 10대 청소년들의 성장드라마","9.77"
"268","계란후라이","자취생활3년. 밥은 먹고 다니냐?","9.65"
"269","낭만두더지 나두","너는사랑을알아?","9.52"
"270","HOLE","판타지 성장 만화","9.76"
"271","모니?모니!","모니모니와 함께 별난 판타지 여행을 떠나보아요.","9.21"
"272","쓰리","저희 쓰리는 고객님이 원하는 물건, 그 어떤 것이든 싹\\\\\\'쓸이\\\\\\'해드립니다~♡","9.59"
"273","톰캣!","짐승들의 씐나는★ 스쿨라이프(?)","9.76"
"274","카오스어택","막장히어로개그물","9.76"
"275","김복길의 blah blah","김복길의 블라블라입니다.","9.50"
"276","AiMer[에이머]","SF 청춘영웅물!","9.72"
"277","오리지날 트랙 1","로맨스 스릴러.","9.67"
"278","허브향기좋은날?SF","행복의 향기","9.76"
"279","파르카이","판타지 드라마","9.80"
"280","씨티라이프","그녀의 씨티라이프","9.25"
"281","지호의 기묘한 원룸","평범한 4컷 만화","9.64"
"282","알타입 프로젝트","상인판타지웹툰","9.39"
"283","융's 교육일지","순수한 아이들과 보내는 행복한 시간. 유아교사였을 때의 여러 가지 에피소드입니다.","9.55"
"284","마요네즈참조아","마요네즈참조아","9.68"
